x;f(x);P(x)
-3,0;16,067661995777765;16,067661995777765
-2,625;12,188506971550673;12,188506971550673
-2,25;9,296567530460194;9,296567530460194
-1,875;7,087087043587521;7,0870870435875215
-1,5;5,352409615243247;5,352409615243249
-1,125;3,9524346581381904;3,9524346581381913
-0,75;2,794683284676845;2,794683284676846
-0,375;1,8211403467045868;1,821140346704588
0,0;1,0;1,0000000000000013
0,375;0,3211403467045868;0,3211403467045841
0,75;-0,2053167153231552;-0,20531671532315163
1,125;-0,5475653418618096;-0,5475653418618172
1,5;-0,6475903847567528;-0,6475903847567537
1,875;-0,4129129564124794;-0,41291295641247616
2,25;0,29656753046019535;0,2965675304601937
2,625;1,688506971550673;1,6885069715506698
3,0;4,067661995777765;4,067661995777767
